Symbol,Market,TradingPeriod,TradingUnits
if,sf,"2010-01-01||9:14 - 11:30, 13:00 - 15:15%2016-01-01||9:29 - 11:30, 13:30 - 15:00",300
ih,sf,"2010-01-01||9:14 - 11:30, 13:00 - 15:15%2016-01-01||9:29 - 11:30, 13:30 - 15:00",300
ic,sf,"2010-01-01||9:14 - 11:30, 13:00 - 15:15%2016-01-01||9:29 - 11:30, 13:30 - 15:00",200
tf,sf,"2010-01-01||9:14 - 11:30, 13:30 - 15:15",10000
t,sf,"2010-01-01||9:14 - 11:30, 13:30 - 15:15",10000
a,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30%2015-05-08||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",10
ag,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-07-05||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30",15
al,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2013-12-20||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 1:00",5
au,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-07-05||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30",1000
b,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30%2015-05-08||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",10
bb,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",500
bu,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 1:00",10
c,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
cf,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-12||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",5
cs,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
cu,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2013-12-20||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 1:00",5
fb,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",500
fg,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2015-06-11||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",20
fu,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",50
hc,sc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 1:00",10
i,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30%2015-05-08||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",100
j,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-07-04||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30%2015-05-08||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",100
jd,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",10
jm,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00%2014-12-26||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 00:00, 00:00 - 2:30%2015-05-08||9:00 - 10:15, 10:30 - 11:30, 13:30 - 15:00, 20:59 - 23:30",60
jr,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
l,dc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",5
lr,zc,"2010-01-01||8:59 - 10:15, 10:30 - 11:30, 13:30 - 15:00",20
